"ad_date","platform","avg_daily_spend","min_daily_spend","max_daily_spend"
2021-05-02,Facebook,3104.00,3104.00,3104.00
2021-05-02,Google,8361.50,1894.00,14829.00
2021-05-03,Facebook,6128.00,474.00,11782.00
2021-05-03,Google,1484.50,1155.00,1814.00
2021-05-04,Facebook,13898.00,13898.00,13898.00
2021-05-04,Google,3604.00,3604.00,3604.00
2021-05-05,Facebook,3666.50,723.00,6610.00
2021-05-05,Google,5553.00,5553.00,5553.00
2021-05-06,Facebook,8864.00,8864.00,8864.00
2021-05-06,Google,4671.00,2396.00,6946.00
2021-05-07,Facebook,6763.50,1143.00,12384.00
2021-05-07,Google,3564.00,910.00,6218.00
2021-05-08,Facebook,9611.50,1539.00,17684.00
2021-05-08,Google,3559.50,2494.00,4625.00
2021-05-09,Facebook,5123.50,2264.00,7983.00
2021-05-09,Google,1640.00,1640.00,1640.00
2021-05-10,Facebook,8183.50,2381.00,13986.00
2021-05-10,Google,2861.50,2404.00,3319.00
2021-05-11,Facebook,4986.50,1526.00,8447.00
2021-05-11,Google,4389.00,4389.00,4389.00
2021-05-12,Facebook,6890.33,1371.00,16978.00
2021-05-12,Google,5228.33,554.00,13610.00
2021-05-13,Facebook,5277.00,572.00,14539.00
2021-05-13,Google,2032.50,1705.00,2360.00
2021-05-14,Facebook,4213.40,972.00,8283.00
2021-05-15,Facebook,3674.75,937.00,10380.00
2021-05-15,Google,1670.00,1670.00,1670.00
2021-05-16,Facebook,4591.00,891.00,13350.00
2021-05-16,Google,1997.00,1359.00,2635.00
2021-05-17,Facebook,4440.00,1546.00,12972.00
2021-05-17,Google,1713.00,517.00,3654.00
2021-05-18,Facebook,7655.00,1235.00,24562.00
2021-05-18,Google,836.00,836.00,836.00
2021-05-19,Facebook,10782.20,1730.00,44079.00
2021-05-19,Google,1235.00,402.00,2068.00
2021-05-20,Facebook,15395.25,1064.00,55657.00
2021-05-20,Google,2509.50,2503.00,2516.00
2021-05-21,Facebook,4235.25,589.00,14863.00
2021-05-21,Google,1425.67,467.00,2623.00
2021-05-22,Facebook,13728.00,782.00,50590.00
2021-05-22,Google,1965.50,1760.00,2171.00
2021-05-23,Facebook,19794.50,902.00,62917.00
2021-05-23,Google,1674.33,1369.00,2060.00
2021-05-24,Facebook,4761.50,463.00,14392.00
2021-05-24,Google,1150.50,588.00,1713.00
2021-05-25,Facebook,26345.80,1385.00,120462.00
2021-05-25,Google,1601.67,1082.00,2597.00
2021-05-26,Facebook,13837.00,1038.00,20438.00
2021-05-26,Google,3062.00,2233.00,3966.00
2021-05-27,Facebook,2769.25,643.00,5642.00
2021-05-27,Google,1442.00,739.00,2145.00
2021-05-28,Facebook,3901.75,718.00,8524.00
2021-05-28,Google,2255.67,1309.00,2929.00
2021-05-29,Facebook,18754.80,802.00,85392.00
2021-05-29,Google,2024.00,992.00,3056.00
2021-05-30,Facebook,26744.40,2014.00,113474.00
2021-05-30,Google,1876.33,861.00,2838.00
2021-05-31,Facebook,12653.00,1515.00,34797.00
2021-05-31,Google,1403.00,378.00,2170.00
2021-06-01,Facebook,7148.00,881.00,25253.00
2021-06-01,Google,1346.00,1346.00,1346.00
2021-06-02,Facebook,14527.17,289.00,53767.00
2021-06-02,Google,3122.00,2603.00,3641.00
2021-06-03,Facebook,5392.20,1229.00,14619.00
2021-06-03,Google,2022.00,644.00,3530.00
2021-06-04,Facebook,20292.00,555.00,64752.00
2021-06-04,Google,2279.00,348.00,3956.00
2021-06-05,Facebook,7397.83,303.00,23631.00
2021-06-05,Google,2542.50,1437.00,3648.00
2021-06-06,Facebook,4943.40,1189.00,15331.00
2021-06-06,Google,2592.67,789.00,4704.00
2021-06-07,Facebook,8862.00,62.00,40043.00
2021-06-07,Google,1891.00,1891.00,1891.00
2021-06-08,Facebook,2107.33,533.00,4580.00
2021-06-08,Google,2881.50,444.00,5319.00
2021-06-09,Facebook,7787.43,729.00,43743.00
2021-06-09,Google,1388.00,548.00,3137.00
2021-06-10,Facebook,3533.88,543.00,19358.00
2021-06-10,Google,1286.00,848.00,1642.00
2021-06-11,Facebook,7115.13,102.00,37493.00
2021-06-11,Google,2318.33,84.00,3930.00
2021-06-12,Facebook,4621.88,149.00,26544.00
2021-06-12,Google,2210.33,245.00,4069.00
2021-06-13,Facebook,3179.83,1206.00,7781.00
2021-06-13,Google,1154.00,547.00,1761.00
2021-06-14,Facebook,3687.14,684.00,14565.00
2021-06-14,Google,2839.33,1616.00,3973.00
2021-06-15,Facebook,6660.80,0.00,22344.00
2021-06-15,Google,1464.67,381.00,2058.00
2021-06-16,Facebook,6320.33,1446.00,25858.00
2021-06-16,Google,2688.67,627.00,6258.00
2021-06-17,Facebook,3647.33,1039.00,11923.00
2021-06-17,Google,2679.25,832.00,5533.00
2021-06-18,Facebook,4597.43,1068.00,12522.00
2021-06-18,Google,2870.50,1070.00,4671.00
2021-06-19,Facebook,7108.57,1083.00,31420.00
2021-06-19,Google,4500.25,1882.00,6088.00
2021-06-20,Facebook,3446.14,1085.00,8263.00
2021-06-20,Google,2430.00,1016.00,5237.00
2021-06-21,Facebook,6749.57,1207.00,31521.00
2021-06-21,Google,2122.00,325.00,5453.00
2021-06-22,Facebook,2328.38,20.00,5766.00
2021-06-22,Google,1287.71,20.00,2601.00
2021-06-23,Facebook,1768.67,100.00,4442.00
2021-06-23,Google,2587.00,1652.00,4078.00
2021-06-24,Facebook,2916.60,94.00,14103.00
2021-06-24,Google,2055.40,45.00,4422.00
2021-06-25,Facebook,7809.50,215.00,46174.00
2021-06-25,Google,1554.20,106.00,2522.00
2021-06-26,Facebook,5691.11,106.00,25626.00
2021-06-26,Google,1351.43,3.00,4318.00
2021-06-27,Facebook,5342.20,4.00,27542.00
2021-06-27,Google,2233.80,192.00,3220.00
2021-06-28,Facebook,4478.11,124.00,15261.00
2021-06-28,Google,2560.50,1.00,5744.00
2021-06-29,Facebook,6225.44,0.00,30787.00
2021-06-29,Google,1122.50,0.00,2016.00
2021-06-30,Facebook,9370.86,0.00,44388.00
2021-06-30,Google,2790.20,0.00,6826.00
2021-07-01,Facebook,8659.63,0.00,44481.00
2021-07-01,Google,2244.13,0.00,9675.00
2021-07-02,Facebook,6149.30,2.00,41929.00
2021-07-02,Google,2712.00,1.00,8787.00
2021-07-03,Facebook,5188.10,5.00,15319.00
2021-07-03,Google,4065.00,6.00,11407.00
2021-07-04,Facebook,3460.13,14.00,12464.00
2021-07-04,Google,6328.00,3663.00,9564.00
2021-07-05,Facebook,6701.50,11.00,25668.00
2021-07-05,Google,1626.00,1459.00,1877.00
2021-07-06,Facebook,5435.75,2.00,24235.00
2021-07-06,Google,2160.50,925.00,4704.00
2021-07-07,Facebook,7462.50,361.00,29464.00
2021-07-07,Google,8269.75,1127.00,26210.00
2021-07-08,Facebook,4117.38,482.00,14865.00
2021-07-08,Google,6921.67,2661.00,22069.00
2021-07-09,Facebook,5797.30,486.00,17469.00
2021-07-09,Google,6648.57,357.00,24648.00
2021-07-10,Facebook,6319.71,1300.00,31183.00
2021-07-10,Google,4188.33,1456.00,7934.00
2021-07-11,Facebook,3901.44,1293.00,8592.00
2021-07-11,Google,4559.67,1179.00,11280.00
2021-07-12,Facebook,7955.63,151.00,26031.00
2021-07-12,Google,4339.83,696.00,6792.00
2021-07-13,Facebook,8723.88,1436.00,33427.00
2021-07-13,Google,1611.25,988.00,2098.00
2021-07-14,Facebook,6538.57,1149.00,17293.00
2021-07-14,Google,6564.00,555.00,12158.00
2021-07-15,Facebook,8120.78,562.00,23543.00
2021-07-15,Google,7896.00,1959.00,15128.00
2021-07-16,Facebook,9071.43,612.00,35256.00
2021-07-16,Google,1954.25,558.00,4743.00
2021-07-17,Facebook,6072.33,307.00,23370.00
2021-07-17,Google,3958.17,333.00,8163.00
2021-07-18,Facebook,15029.75,1487.00,58824.00
2021-07-18,Google,5816.00,1729.00,12901.00
2021-07-19,Facebook,13067.88,1175.00,40964.00
2021-07-19,Google,5072.00,1978.00,10621.00
2021-07-20,Facebook,9003.25,1116.00,40393.00
2021-07-20,Google,7101.20,1382.00,19889.00
2021-07-21,Facebook,12033.71,1366.00,45925.00
2021-07-21,Google,4448.33,1550.00,8270.00
2021-07-22,Facebook,9776.63,1196.00,34129.00
2021-07-22,Google,4184.33,1977.00,5577.00
2021-07-23,Facebook,16713.50,671.00,70626.00
2021-07-23,Google,6482.25,907.00,17467.00
2021-07-24,Facebook,14524.63,873.00,54497.00
2021-07-24,Google,8491.00,1665.00,14525.00
2021-07-25,Facebook,9439.88,1482.00,37055.00
2021-07-25,Google,9588.00,1369.00,25067.00
2021-07-26,Facebook,7573.43,1615.00,21521.00
2021-07-26,Google,3331.50,2098.00,5998.00
2021-07-27,Facebook,9082.88,1776.00,44489.00
2021-07-27,Google,6026.20,2343.00,8648.00
2021-07-28,Facebook,10071.00,2498.00,32881.00
2021-07-28,Google,9272.00,2658.00,29119.00
2021-07-29,Facebook,9708.13,1976.00,27989.00
2021-07-29,Google,5928.75,461.00,17201.00
2021-07-30,Facebook,8652.00,1111.00,36739.00
2021-07-30,Google,6734.20,853.00,26785.00
2021-07-31,Facebook,6279.00,760.00,24950.00
2021-07-31,Google,5113.67,1237.00,13739.00
2021-08-01,Facebook,9966.00,2634.00,29792.00
2021-08-01,Google,4351.00,1158.00,7819.00
2021-08-02,Facebook,6688.13,603.00,23159.00
