event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase
2020-11-14,google,organic,(organic),716,0.0,0.043296089385474863,0.00558659217877095
2020-11-14,(data deleted),(data deleted),(data deleted),170,0.0,0.052941176470588235,0.029411764705882353
2020-11-14,<Other>,referral,(referral),236,0.0,0.046610169491525424,0.016949152542372881
2020-11-14,google,cpc,<Other>,105,0.0,0.028571428571428571,0.0
2020-11-14,<Other>,<Other>,<Other>,343,0.0,0.058309037900874633,0.017492711370262391
2020-11-14,shop.googlemerchandisestore.com,referral,(referral),201,0.0,0.064676616915422883,0.024875621890547265
2020-11-14,<Other>,organic,(organic),55,0.0,0.018181818181818181,0.0
2020-11-14,<Other>,(data deleted),(data deleted),2,0.0,0.0,0.0
2020-11-14,(data deleted),(data deleted),<Other>,1,0.0,0.0,0.0
2020-11-15,<Other>,<Other>,<Other>,338,0.0,0.044378698224852069,0.0029585798816568047
2020-11-15,<Other>,referral,(referral),217,0.0,0.041474654377880185,0.013824884792626729
2020-11-15,google,organic,(organic),660,0.0,0.065151515151515155,0.0060606060606060606
2020-11-15,(direct),(none),(direct),534,0.0,0.04307116104868914,0.00749063670411985
2020-11-15,(data deleted),(data deleted),(data deleted),119,0.0,0.058823529411764705,0.025210084033613446
2020-11-15,google,cpc,<Other>,90,0.0,0.011111111111111112,0.011111111111111112
2020-11-15,shop.googlemerchandisestore.com,referral,(referral),174,0.0,0.051724137931034482,0.017241379310344827
2020-11-15,<Other>,organic,(organic),54,0.0,0.037037037037037035,0.037037037037037035
2020-11-15,(data deleted),(data deleted),<Other>,2,0.0,0.0,0.0
2020-11-15,<Other>,(data deleted),(data deleted),2,0.0,0.0,0.0
2020-11-16,(direct),(none),(direct),784,0.011479591836734694,0.0548469387755102,0.026785714285714284
2020-11-16,google,organic,(organic),1042,0.0095969289827255271,0.040307101727447218,0.019193857965451054
2020-11-16,<Other>,<Other>,<Other>,516,0.0096899224806201549,0.046511627906976744,0.017441860465116279
2020-11-16,shop.googlemerchandisestore.com,referral,(referral),328,0.0060975609756097563,0.06097560975609756,0.021341463414634148
2020-11-16,(data deleted),(data deleted),(data deleted),276,0.010869565217391304,0.039855072463768113,0.021739130434782608
2020-11-16,<Other>,referral,(referral),318,0.009433962264150943,0.0440251572327044,0.009433962264150943
2020-11-16,<Other>,organic,(organic),84,0.023809523809523808,0.035714285714285712,0.0
2020-11-16,google,cpc,<Other>,138,0.0,0.043478260869565216,0.021739130434782608
2020-11-16,<Other>,(data deleted),(data deleted),6,0.0,0.0,0.0
2020-11-16,(data deleted),(data deleted),<Other>,5,0.0,0.0,0.0
2020-11-17,(direct),(none),(direct),908,0.053964757709251104,0.048458149779735685,0.022026431718061675
2020-11-17,<Other>,referral,(referral),398,0.065326633165829151,0.052763819095477386,0.017587939698492462
2020-11-17,(data deleted),(data deleted),(data deleted),341,0.064516129032258063,0.076246334310850442,0.0469208211143695
2020-11-17,google,organic,(organic),1209,0.05293631100082713,0.042183622828784122,0.015715467328370553
2020-11-17,<Other>,<Other>,<Other>,537,0.068901303538175043,0.042830540037243951,0.0186219739292365
2020-11-17,<Other>,organic,(organic),106,0.10377358490566038,0.056603773584905662,0.009433962264150943
2020-11-17,shop.googlemerchandisestore.com,referral,(referral),363,0.090909090909090912,0.0743801652892562,0.030303030303030304
2020-11-17,google,cpc,<Other>,142,0.035211267605633804,0.028169014084507043,0.0
2020-11-17,(data deleted),(data deleted),<Other>,6,0.0,0.0,0.0
2020-11-17,<Other>,(data deleted),(data deleted),4,0.25,0.25,0.25
2020-11-18,(data deleted),(data deleted),(data deleted),296,0.050675675675675678,0.054054054054054057,0.02364864864864865
2020-11-18,shop.googlemerchandisestore.com,referral,(referral),350,0.048571428571428571,0.04,0.014285714285714285
2020-11-18,<Other>,<Other>,<Other>,520,0.051923076923076926,0.034615384615384617,0.0076923076923076927
2020-11-18,google,organic,(organic),1274,0.044740973312401885,0.025902668759811617,0.0078492935635792772
2020-11-18,<Other>,referral,(referral),408,0.061274509803921566,0.046568627450980393,0.00980392156862745
2020-11-18,(direct),(none),(direct),970,0.054639175257731959,0.04536082474226804,0.016494845360824743
2020-11-18,<Other>,organic,(organic),110,0.045454545454545456,0.045454545454545456,0.00909090909090909
2020-11-18,<Other>,(data deleted),(data deleted),6,0.0,0.0,0.0
2020-11-18,google,cpc,<Other>,154,0.051948051948051951,0.05844155844155844,0.01948051948051948
2020-11-18,(data deleted),(data deleted),<Other>,6,0.0,0.0,0.0
2020-11-19,google,organic,(organic),1234,0.0097244732576985422,0.028363047001620744,0.0072933549432739062
2020-11-19,<Other>,<Other>,<Other>,558,0.019713261648745518,0.028673835125448029,0.010752688172043012
2020-11-19,(direct),(none),(direct),974,0.0061601642710472282,0.029774127310061602,0.0092402464065708418
2020-11-19,<Other>,referral,(referral),417,0.0095923261390887284,0.033573141486810551,0.014388489208633094
2020-11-19,google,cpc,<Other>,177,0.0,0.022598870056497175,0.0056497175141242938
2020-11-19,(data deleted),(data deleted),(data deleted),308,0.0064935064935064939,0.03896103896103896,0.016233766233766232
2020-11-19,shop.googlemerchandisestore.com,referral,(referral),373,0.0053619302949061663,0.034852546916890083,0.01876675603217158
2020-11-19,<Other>,organic,(organic),100,0.01,0.02,0.01
2020-11-19,<Other>,(data deleted),(data deleted),4,0.0,0.0,0.0
2020-11-19,(data deleted),(data deleted),<Other>,8,0.125,0.125,0.0
2020-11-20,<Other>,<Other>,<Other>,513,0.0,0.029239766081871343,0.0077972709551656916
2020-11-20,(direct),(none),(direct),972,0.00102880658436214,0.0411522633744856,0.014403292181069959
2020-11-20,google,organic,(organic),1246,0.00080256821829855537,0.044141252006420544,0.015248796147672551
2020-11-20,<Other>,referral,(referral),419,0.0023866348448687352,0.033412887828162291,0.016706443914081145
2020-11-20,<Other>,organic,(organic),124,0.0,0.0080645161290322578,0.0
2020-11-20,shop.googlemerchandisestore.com,referral,(referral),334,0.0,0.038922155688622756,0.017964071856287425
2020-11-20,(data deleted),(data deleted),(data deleted),303,0.0,0.0627062706270627,0.036303630363036306
2020-11-20,google,cpc,<Other>,163,0.0,0.036809815950920248,0.018404907975460124
2020-11-20,<Other>,(data deleted),(data deleted),4,0.0,0.25,0.0
2020-11-20,(data deleted),(data deleted),<Other>,10,0.0,0.0,0.0
2020-11-21,<Other>,referral,(referral),291,0.0,0.058419243986254296,0.027491408934707903
2020-11-21,google,organic,(organic),987,0.0,0.039513677811550151,0.0081053698074974676
2020-11-21,<Other>,<Other>,<Other>,452,0.0,0.0420353982300885,0.0088495575221238937
2020-11-21,(direct),(none),(direct),720,0.0,0.033333333333333333,0.0083333333333333332
2020-11-21,shop.googlemerchandisestore.com,referral,(referral),242,0.0,0.033057851239669422,0.0082644628099173556
2020-11-21,google,cpc,<Other>,145,0.0,0.068965517241379309,0.027586206896551724
2020-11-21,(data deleted),(data deleted),(data deleted),217,0.0,0.023041474654377881,0.013824884792626729
2020-11-21,<Other>,organic,(organic),92,0.0,0.043478260869565216,0.0
2020-11-21,<Other>,(data deleted),(data deleted),5,0.0,0.0,0.0
2020-11-21,(data deleted),(data deleted),<Other>,2,0.0,0.0,0.0
2020-11-22,(data deleted),(data deleted),(data deleted),159,0.0,0.056603773584905662,0.037735849056603772
2020-11-22,google,organic,(organic),840,0.0,0.05,0.013095238095238096
2020-11-22,(direct),(none),(direct),626,0.0,0.039936102236421724,0.0079872204472843447
2020-11-22,<Other>,<Other>,<Other>,367,0.0,0.027247956403269755,0.0054495912806539508
2020-11-22,google,cpc,<Other>,106,0.0,0.028301886792452831,0.0
2020-11-22,<Other>,referral,(referral),260,0.0,0.030769230769230771,0.0038461538461538464
2020-11-22,shop.googlemerchandisestore.com,referral,(referral),226,0.0,0.039823008849557522,0.017699115044247787
2020-11-22,<Other>,organic,(organic),62,0.0,0.032258064516129031,0.0
2020-11-22,<Other>,(data deleted),(data deleted),3,0.0,0.33333333333333331,0.0
2020-11-22,(data deleted),(data deleted),<Other>,1,0.0,0.0,0.0
2020-11-23,google,organic,(organic),1229,0.0,0.040683482506102521,0.013832384052074858
2020-11-23,(direct),(none),(direct),943,0.0,0.033934252386002124,0.012725344644750796
2020-11-23,<Other>,organic,(organic),96,0.0,0.020833333333333332,0.0
2020-11-23,(data deleted),(data deleted),(data deleted),289,0.0,0.05536332179930796,0.031141868512110725
2020-11-23,<Other>,referral,(referral),354,0.0,0.050847457627118647,0.014124293785310734
2020-11-23,<Other>,<Other>,<Other>,527,0.0,0.043643263757115747,0.013282732447817837
2020-11-23,shop.googlemerchandisestore.com,referral,(referral),311,0.0,0.064308681672025719,0.028938906752411574
2020-11-23,google,cpc,<Other>,156,0.0,0.05128205128205128,0.019230769230769232
2020-11-23,<Other>,(data deleted),(data deleted),6,0.0,0.0,0.0
2020-11-23,(data deleted),(data deleted),<Other>,3,0.0,0.0,0.0
2020-11-24,google,organic,(organic),1328,0.0,0.0391566265060241,0.018072289156626505
2020-11-24,<Other>,organic,(organic),122,0.0,0.081967213114754092,0.040983606557377046
2020-11-24,google,cpc,<Other>,158,0.0,0.056962025316455694,0.012658227848101266
2020-11-24,<Other>,<Other>,<Other>,548,0.0,0.052919708029197078,0.016423357664233577
2020-11-24,<Other>,referral,(referral),424,0.0,0.051886792452830191,0.021226415094339621
2020-11-24,(direct),(none),(direct),949,0.0,0.053740779768177031,0.0273972602739726
2020-11-24,shop.googlemerchandisestore.com,referral,(referral),387,0.0,0.041343669250646,0.020671834625323
2020-11-24,(data deleted),(data deleted),(data deleted),275,0.0,0.07636363636363637,0.050909090909090911
2020-11-24,<Other>,(data deleted),(data deleted),5,0.0,0.0,0.0
2020-11-24,(data deleted),(data deleted),<Other>,7,0.0,0.0,0.0
2020-11-25,google,organic,(organic),1334,0.018740629685157422,0.046476761619190406,0.016491754122938532
2020-11-25,<Other>,<Other>,<Other>,608,0.013157894736842105,0.044407894736842105,0.011513157894736841
2020-11-25,shop.googlemerchandisestore.com,referral,(referral),359,0.025069637883008356,0.064066852367688026,0.033426183844011144
2020-11-25,(direct),(none),(direct),984,0.013211382113821139,0.04573170731707317,0.01524390243902439
2020-11-25,(data deleted),(data deleted),(data deleted),310,0.045161290322580643,0.12580645161290321,0.064516129032258063
2020-11-25,<Other>,referral,(referral),438,0.0136986301369863,0.045662100456621,0.020547945205479451
2020-11-25,<Other>,organic,(organic),105,0.0095238095238095247,0.028571428571428571,0.0
2020-11-25,google,cpc,<Other>,189,0.010582010582010581,0.037037037037037035,0.0052910052910052907
2020-11-25,(data deleted),(data deleted),<Other>,8,0.0,0.125,0.0
2020-11-25,<Other>,(data deleted),(data deleted),5,0.0,0.0,0.0
2020-11-26,(data deleted),(data deleted),(data deleted),278,0.089928057553956831,0.0539568345323741,0.014388489208633094
2020-11-26,google,organic,(organic),1270,0.070866141732283464,0.045669291338582677,0.016535433070866142
2020-11-26,<Other>,<Other>,<Other>,605,0.080991735537190079,0.033057851239669422,0.011570247933884297
2020-11-26,(direct),(none),(direct),972,0.059670781893004114,0.042181069958847739,0.0092592592592592587
2020-11-26,<Other>,organic,(organic),106,0.056603773584905662,0.056603773584905662,0.028301886792452831
2020-11-26,google,cpc,<Other>,154,0.07792207792207792,0.05844155844155844,0.012987012987012988
2020-11-26,<Other>,(data deleted),(data deleted),8,0.0,0.125,0.0
2020-11-26,<Other>,referral,(referral),373,0.056300268096514748,0.056300268096514748,0.0160857908847185
2020-11-26,shop.googlemerchandisestore.com,referral,(referral),316,0.079113924050632917,0.056962025316455694,0.00949367088607595
2020-11-26,(data deleted),(data deleted),<Other>,4,0.0,0.25,0.0
2020-11-27,<Other>,referral,(referral),378,0.082010582010582,0.047619047619047616,0.021164021164021163
2020-11-27,<Other>,organic,(organic),129,0.093023255813953487,0.031007751937984496,0.0
2020-11-27,(data deleted),(data deleted),(data deleted),223,0.1031390134529148,0.089686098654708515,0.071748878923766815
2020-11-27,google,organic,(organic),1177,0.080713678844519965,0.039082412914188618,0.0118946474086661
2020-11-27,shop.googlemerchandisestore.com,referral,(referral),314,0.10828025477707007,0.076433121019108277,0.054140127388535034
2020-11-27,google,cpc,<Other>,187,0.11229946524064172,0.058823529411764705,0.026737967914438502
2020-11-27,(direct),(none),(direct),912,0.06798245614035088,0.046052631578947366,0.021929824561403508
2020-11-27,<Other>,<Other>,<Other>,602,0.079734219269102985,0.043189368770764118,0.011627906976744186
2020-11-27,(data deleted),(data deleted),<Other>,8,0.25,0.375,0.25
2020-11-27,<Other>,(data deleted),(data deleted),7,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-11-28,<Other>,<Other>,<Other>,503,0.089463220675944338,0.049701789264413522,0.02186878727634195
2020-11-28,google,organic,(organic),1044,0.082375478927203066,0.044061302681992334,0.019157088122605363
2020-11-28,(direct),(none),(direct),813,0.078720787207872081,0.045510455104551047,0.01968019680196802
2020-11-28,<Other>,referral,(referral),348,0.086206896551724144,0.045977011494252873,0.022988505747126436
2020-11-28,shop.googlemerchandisestore.com,referral,(referral),242,0.078512396694214878,0.045454545454545456,0.033057851239669422
2020-11-28,google,cpc,<Other>,131,0.0916030534351145,0.053435114503816793,0.015267175572519083
2020-11-28,<Other>,organic,(organic),96,0.083333333333333329,0.041666666666666664,0.020833333333333332
2020-11-28,(data deleted),(data deleted),(data deleted),167,0.11976047904191617,0.083832335329341312,0.04790419161676647
2020-11-28,<Other>,(data deleted),(data deleted),4,0.0,0.0,0.0
2020-11-28,(data deleted),(data deleted),<Other>,2,0.0,0.0,0.0
2020-11-29,<Other>,referral,(referral),299,0.076923076923076927,0.03678929765886288,0.013377926421404682
2020-11-29,<Other>,<Other>,<Other>,491,0.079429735234215884,0.042769857433808553,0.010183299389002037
2020-11-29,google,organic,(organic),986,0.081135902636916835,0.040567951318458417,0.015212981744421906
2020-11-29,(direct),(none),(direct),748,0.088235294117647065,0.034759358288770054,0.0093582887700534752
2020-11-29,shop.googlemerchandisestore.com,referral,(referral),255,0.094117647058823528,0.031372549019607843,0.0196078431372549
2020-11-29,<Other>,organic,(organic),97,0.030927835051546393,0.030927835051546393,0.020618556701030927
2020-11-29,(data deleted),(data deleted),(data deleted),195,0.1076923076923077,0.066666666666666666,0.046153846153846156
2020-11-29,google,cpc,<Other>,130,0.053846153846153849,0.015384615384615385,0.0076923076923076927
2020-11-29,<Other>,(data deleted),(data deleted),4,0.0,0.25,0.25
